date,actual,sarimax,sarimax_lower,sarimax_upper
2016-05-13 19:00:00,208.33333333333334,203.37727452838516,83.11791330310776,323.6366357536626
2016-05-13 20:00:00,120.0,181.0004874154709,53.10195034328592,308.8990244876559
2016-05-13 21:00:00,63.333333333333336,127.74996571155103,-7.397706535819992,262.897637958922
2016-05-13 22:00:00,55.0,101.67078559645245,-36.240862903144205,239.5824340960491
2016-05-13 23:00:00,61.666666666666664,86.31111564313508,-53.04619359033009,225.66842487660026
2016-05-14 00:00:00,58.333333333333336,75.41068021356301,-64.70835525872832,215.52971568585434
2016-05-14 01:00:00,63.333333333333336,68.94637759562886,-71.57553191343777,209.4682871046955
2016-05-14 02:00:00,60.0,63.95171275034633,-76.78369427630213,204.6871197769948
2016-05-14 03:00:00,60.0,60.65351003488118,-80.19515395691275,201.5021740266751
2016-05-14 04:00:00,60.0,60.670838833485675,-80.23793892680098,201.57961659377233
2016-05-14 05:00:00,56.666666666666664,68.69280118763876,-72.24789257381136,209.63349494908888
2016-05-14 06:00:00,63.333333333333336,79.38547626378232,-61.57216514950551,220.34311767707015
2016-05-14 07:00:00,113.33333333333333,107.05693765688274,-33.90970382683112,248.0235791405966
2016-05-14 08:00:00,133.33333333333334,126.02213753516176,-14.949283652845452,266.993558723169
2016-05-14 09:00:00,118.33333333333333,110.17663542300834,-30.797324200330863,251.15059504634752
2016-05-14 10:00:00,158.33333333333334,117.32413049571726,-23.651177272185592,258.2994382636201
2016-05-14 11:00:00,96.66666666666667,127.92871357838517,-13.0473101839262,268.90473734069656
2016-05-14 12:00:00,116.66666666666667,122.35565722737556,-18.620746798109934,263.3320612528611
2016-05-14 13:00:00,113.33333333333333,116.65309550065913,-24.323510482088523,257.6297014834068
2016-05-14 14:00:00,106.66666666666667,112.91026361260582,-28.066449628619765,253.8869768538314
2016-05-14 15:00:00,130.0,105.79800217123608,-35.17876802995269,246.77477237242485
2016-05-14 16:00:00,111.66666666666667,138.73917965920035,-2.2376207341813767,279.71598005258204
2016-05-14 17:00:00,241.66666666666666,190.95092979639804,49.97411376015526,331.9277458326408
2016-05-14 18:00:00,166.66666666666666,190.0474310516446,49.070606493268485,331.0242556100207
2016-05-14 19:00:00,90.0,137.2860796469888,17.02672946840947,257.54542982556814
